ægilopiné	adj.
ægilopinées	subst.
æolis	subst.
æpyornis	subst.
æsthésiomètre	subst.
æthéogame	adj.
æthéogamie	subst.
ætite	subst.
montagne	subst.
montagnère	subst.
montagnette	subst.
montagneux	adj.
montaison	subst.
montanière	subst.
montanisme	subst.
montaniste	adj.
montaniste	subst.
montant	adj.
montant	subst.
monté	adj.
monte	subst.
monte-courroie	subst.
monte-jus	subst.
monte-livres	subst.
monte-plats	subst.
montée	subst.
monter	verbe
monteur	subst.
monteuse	subst.
montgolfière	subst.
monticole	adj.
monticule	subst.
monticuleux	adj.
montien	adj.
montjoie	subst.
montmartrois	adj.
montmartrois	subst.
montmartroise	subst.
montmorency	subst.
montoir	subst.
montparnassien	adj.
montparnassien	subst.
montparnassienne	subst.
montrable	adj.
montrachet	subst.
montrance	subst.
montre	subst.
montrer	verbe
montreuil	subst.
montreur	subst.
montreuse	subst.
montreux	adj.
montueux	adj.
montuosité	subst.
monture	subst.
monument	subst.
monumental	adj.
monumentalement	adv.
monumentaliser	verbe
monumentaliste	adj.
monumentalité	subst.
moos	subst.
mopse	subst.
moquable	adj.
moque	subst.
moquer	verbe
moquerie	subst.
moquette	subst.
moquetter	verbe
moqueur	adj.
moqueur	subst.
moqueuse	subst.
moqueusement	adv.
moracées	subst.
morailles	subst.
moraillon	subst.
moraine	subst.
morainique	adj.
moral	adj.
moral	subst.
morale	subst.
moralement	adv.
moralerie	subst.
moralisant	adj.
moralisateur	adj.
moralisateur	subst.
moralisation	subst.
moralisatrice	subst.
moraliser	verbe
moraliseur	adj.
moraliseur	subst.
moralisme	subst.
moraliste	adj.
moraliste	subst.
moralité	subst.
morasse	subst.
moratoire	adj.
moratoire	subst.
moratorium	subst.
morbaque	subst.
morbide	adj.
morbidement	adv.
morbidesse	subst.
morbidité	subst.
morbier	subst.
morbifique	adj.
morbifuge	adj.
morbigène	adj.
morbilleux	adj.
morbleu	interj.
morceau	subst.
morcelable	adj.
morcelage	subst.
morceler	verbe
morcellement	subst.
mordache	subst.
mordacité	subst.
mordançage	subst.
mordancer	verbe
mordant	adj.
mordant	subst.
mordelle	subst.
mordeur	adj.
mordeur	subst.
mordeuse	subst.
mordicant	adj.
mordication	subst.
mordicus	adv.
mordienne	interj.
mordieu	interj.
mordillage	subst.
mordillement	subst.
mordiller	verbe
mordillonner	verbe
mordillure	subst.
mordious	interj.
mordoré	adj.
mordorer	verbe
mordorure	subst.
mordre	verbe
mordu	adj.
mordu	subst.
mordue	subst.
more	subst.
moreau	adj.
morelle	subst.
morfal	subst.
morfale	subst.
morfaler	verbe
morfil	subst.
morfilage	subst.
morfiler	verbe
morfler	verbe
morfondre	verbe
morfondu	adj.
morfondu	subst.
morfondure	subst.
morganatique	adj.
morganatiquement	adv.
morgeline	subst.
morgué	interj.
morgue	subst.
morguenne	interj.
morguer	verbe
morgueur	subst.
moribond	adj.
moribond	subst.
moribonde	subst.
moricaud	adj.
moricaud	subst.
moricaude	subst.
morien	subst.
morigéné	adj.
morigéner	verbe
morille	subst.
morillon	subst.
morio	subst.
morion	subst.
morionné	adj.
morlingue	subst.
mormon	subst.
mormone	subst.
mormonisme	subst.
morne	adj.
morné	adj.
morne	subst.
mornifle	subst.
morose	adj.
morosif	adj.
morosité	subst.
morphe	subst.
morphée	subst.
morphéique	adj.
morphématique	adj.
morphème	subst.
morphine	subst.
morphiner	verbe
morphinique	adj.
morphiniser	verbe
morphinisme	subst.
morphinomane	adj.
morphinomane	subst.
morphinomanie	subst.
morpho-psychologie	subst.
morpho-psychologique	adj.
morpho-sémantique	subst.
morpho-syntaxique	adj.
morphochorèse	subst.
morphochorésis	subst.
morphochronologie	subst.
morphoclimatique	adj.
morphogène	adj.
morphogenèse	subst.
morphogénétique	adj.
morphogénie	subst.
morphogénique	adj.
morphogénotype	subst.
morphogramme	subst.
morphologie	subst.
morphologique	adj.
morphologiquement	adv.
morphologiste	subst.
morphologue	subst.
morphométrie	subst.
morphonologie	subst.
morphopédologie	subst.
morphophonème	subst.
morphophonologie	subst.
morphophonologique	adj.
morphopsychologie	subst.
morphostructural	adj.
morphotectonique	subst.
morphotropie	subst.
morphotropique	adj.
morpion	subst.
mors	subst.
morse	subst.
morsure	subst.
mort	adj.
mort	subst.
mort-aux-rats	subst.
mort-bois	subst.
mort-née	adj.
mort-vivant	adj.
mortadelle	subst.
mortaisage	subst.
mortaise	subst.
mortaiser	verbe
mortaiseuse	subst.
mortalité	subst.
morte	subst.
morte-eau	subst.
morte-vivante	adj.
mortel	adj.
mortel	subst.
mortelle	subst.
mortellement	adv.
morticole	subst.
mortier	subst.
mortifère	adj.
mortifiant	adj.
mortification	subst.
mortifié	adj.
mortifier	verbe
mortinatalité	subst.
mortuaire	adj.
mortuairement	adv.
morue	subst.
moruefier	verbe
morula	subst.
morulaire	adj.
morutier	adj.
morutier	subst.
morvandeau	adj.
morvandeau	subst.
morvandelle	subst.
morvandiau	adj.
morvandiau	subst.
morve	subst.
morver	verbe
morveuse	subst.
morveux	adj.
morveux	subst.
mosaïculture	subst.
mosaïque	adj.
mosaïqué	adj.
mosaïque	subst.
mosaïsme	subst.
mosaïste	adj.
mosaïste	subst.
mosan	adj.
moschifère	adj.
moscouade	subst.
moscoutaire	adj.
moscovade	subst.
moscovite	adj.
moscovite	subst.
mosellan	adj.
mosellan	subst.
mosellane	subst.
mosette	subst.
mosquée	subst.
moss	subst.
mot	subst.
mot-outil	subst.
mot-portemanteau	subst.
mot-souche	subst.
mot-valise	subst.
mot_etranger	mot étranger
mot_exlu	mot exclu
mot_nombre	adj. num.
mot_nombre	nombre
motard	subst.
motel	subst.
motelle	subst.
motet	subst.
moteur	adj.
moteur	subst.
motif	subst.
motilité	subst.
motion	subst.
motionnaire	subst.
motionner	verbe
motivation	subst.
motivé	adj.
motiver	verbe
moto	subst.
moto-réducteur	subst.
moto-ventilateur	subst.
motoaviette	subst.
motobatteuse	subst.
motobrouette	subst.
motocharrue	subst.
motoclub	subst.
motocompresseur	subst.
motocross	subst.
motoculteur	subst.
motoculture	subst.
motocycle	subst.
motocyclette	subst.
motocyclisme	subst.
motocycliste	adj.
motocycliste	subst.
motodrôme	subst.
motofaucheuse	subst.
motohoue	subst.
motomodèle	subst.
motonautisme	subst.
motoneurone	subst.
motopaver	subst.
motoplaneur	subst.
motopompe	subst.
motopropulseur	adj.
motoréacteur	subst.
motorisation	subst.
motoriser	verbe
motoriste	subst.
motorship	subst.
mototracteur	subst.
mototreuil	subst.
motoventilateur	subst.
motrice	subst.
motricité	subst.
motte	subst.
motteler	verbe
motter	verbe
motteux	subst.
motus	interj.
mou	adj.
mou	subst.
mouchachou	subst.
mouchage	subst.
moucharabieh	subst.
moucharaby	subst.
mouchard	subst.
mouchardage	subst.
moucharde	subst.
moucharder	verbe
mouchardeur	adj.
mouche	subst.
moucher	verbe
moucherie	subst.
moucherolle	subst.
moucheron	subst.
moucheronner	verbe
mouchet	subst.
mouchetage	subst.
moucheté	adj.
moucheté	subst.
moucheter	verbe
mouchetis	subst.
mouchette	subst.
mouchettement	subst.
moucheture	subst.
moucheur	subst.
mouchoir	subst.
mouchure	subst.
mouclade	subst.
moudhir	subst.
moudir	subst.
moudre	verbe
moue	subst.
mouée	subst.
mouette	subst.
moufeter	verbe
moufette	subst.
mouffeter	verbe
mouffette	subst.
mouflage	subst.
mouflard	subst.
mouflarde	subst.
mouflé	adj.
moufle	subst.
moufler	verbe
mouflet	subst.
moufletier	subst.
mouflette	subst.
mouflon	subst.
moufter	verbe
mouillabilité	subst.
mouillable	adj.
mouillade	subst.
mouillage	subst.
mouillant	adj.
mouillé	adj.
mouille	subst.
mouille-bouche	subst.
mouille-étiquettes	subst.
mouillement	subst.
mouiller	verbe
mouillère	subst.
mouillette	subst.
mouilleur	subst.
mouilleux	adj.
mouilloir	subst.
mouillon	subst.
mouillure	subst.
mouisard	adj.
mouisard	subst.
mouisarde	subst.
mouise	subst.
moujik	subst.
moujingue	subst.
moukère	subst.
moulage	subst.
moulé	adj.
moule	subst.
mouleau	subst.
moulée	subst.
mouler	verbe
moulerie	subst.
mouleur	subst.
moulière	subst.
moulin	subst.
moulinage	subst.
mouliner	verbe
moulinet	subst.
moulinette	subst.
moulineur	subst.
moulineuse	subst.
moulinière	subst.
mouliste	subst.
moult	adv.
moulu	adj.
moulurage	subst.
mouluration	subst.
moulure	subst.
moulurer	verbe
moulureur	subst.
moulureuse	subst.
moulurier	subst.
moulurière	subst.
moumoute	subst.
mound	subst.
mouquère	subst.
mour	subst.
mourant	adj.
mourant	subst.
mourante	subst.
mourir	verbe
mouroir	subst.
mouron	subst.
mourre	subst.
mouscaille	subst.
mousmé	subst.
mousquet	subst.
mousquetade	subst.
mousquetaire	subst.
mousqueterie	subst.
mousqueton	subst.
moussage	subst.
moussaillon	subst.
moussaka	subst.
moussant	adj.
mousse	adj.
mousse	subst.
mousseline	subst.
mousser	verbe
mousseron	subst.
mousseux	adj.
mousseux	subst.
moussoir	subst.
mousson	subst.
moussu	adj.
moustaché	adj.
moustache	subst.
moustachu	adj.
moustérien	adj.
moustérien	subst.
moustier	subst.
moustiquaire	subst.
moustique	subst.
moût	subst.
moutard	subst.
moutarde	subst.
moutarder	verbe
moutardeux	adj.
moutardier	subst.
moutier	subst.
mouton	subst.
mouton-pendule	subst.
moutonnage	subst.
moutonnant	adj.
moutonné	adj.
moutonnement	subst.
moutonner	verbe
moutonnerie	subst.
moutonneux	adj.
moutonnier	adj.
moutonnier	subst.
moutonnière	subst.
mouture	subst.
mouvance	subst.
mouvant	adj.
mouvant	subst.
mouvement	subst.
mouvementé	adj.
mouvementer	verbe
mouver	verbe
mouvette	subst.
mouvoir	verbe
moviola	subst.
moxa	subst.
moxibustion	subst.
moye	subst.
moyen	adj.
moyen	subst.
moyen-âge	subst.
moyen-âgeux	adj.
moyen-courrier	subst.
moyenâgé	adj.
moyenâgeusement	adv.
moyenâgeux	adj.
moyenâgisme	subst.
moyenâgiste	adj.
moyennant	conj.
moyennant	prép.
moyenne	subst.
moyennement	adv.
moyenner	verbe
moyère	subst.
moyette	subst.
moyeu	subst.
mozabite	adj.
mozabite	subst.
mozarabe	adj.
mozarabe	subst.
mozarabique	adj.
mozartien	adj.
mozartien	subst.
mozartienne	subst.
mozette	subst.
msieu	subst.
mu	subst.
muabilité	subst.
muable	adj.
muance	subst.
mucher	verbe
muchir	subst.
muciforme	adj.
mucigène	adj.
mucilage	subst.
mucilagineux	adj.
mucinase	subst.
mucine	subst.
mucineux	adj.
mucinoïde	subst.
mucinose	subst.
mucipare	adj.
mucique	adj.
muco-membraneux	adj.
muco-purulence	subst.
muco-purulent	adj.
muco-pus	subst.
mucobromique	adj.
mucocèle	subst.
mucochlorique	adj.
mucographie	subst.
mucoïde	subst.
mucoïdes	subst.
mucoïtine	adj.
mucol	subst.
mucolite	subst.
mucolitique	adj.
muconate	subst.
muconique	adj.
muconitique	adj.
mucopolysaccharides	subst.
mucopolysaccharidique	adj.
mucoprotéide	subst.
mucoprotéine	subst.
mucoprotéique	adj.
mucor	subst.
mucoracées	subst.
mucorales	subst.
mucorinées	subst.
mucorrhée	subst.
mucosine	subst.
mucosité	subst.
mucoso-puriforme	adj.
mucoso-sanglant	adj.
mucoso-sanguinolent	adj.
mucoso-séreux	adj.
mucoso-sucré	adj.
mucoviscidose	subst.
mucoviscose	subst.
mucre	adj.
mucron	subst.
mucroné	adj.
mucus	subst.
mudejar	adj.
mudéjar	adj.
mudejar	subst.
mudéjar	subst.
mudéjar	adj.
mué	adj.
mue	subst.
muer	verbe
muet	adj.
muette	subst.
muettement	adv.
muezzin	subst.
muffée	subst.
muffin	subst.
muffler	verbe
muflard	adj.
mufle	subst.
mufleman	subst.
muflerie	subst.
muflier	subst.
muflisme	subst.
mufti	subst.
muge	subst.
mugir	verbe
mugissant	adj.
mugissement	subst.
muguet	subst.
mugueter	verbe
muid	subst.
mulard	adj.
mulard	subst.
mularde	subst.
mulasse	subst.
mulasserie	subst.
mulassier	adj.
mulâtre	adj.
mulâtre	subst.
mulâtrerie	subst.
mulâtresse	subst.
mule	subst.
mule-jenny	subst.
mulet	subst.
muleta	subst.
mulète	subst.
muleter	verbe
muletier	adj.
muletier	subst.
muletières	subst.
mulette	subst.
mulle	subst.
mulon	subst.
mulonnée	subst.
mulot	subst.
mulsion	subst.
multi-cellulaire	adj.
multi-centenaire	adj.
multi-dimensionnel	adj.
multi-directionnel	adj.
multi-fonctionnalité	subst.
multi-quotidien	adj.
multiarticulé	adj.
multibranche	adj.
multibroche	adj.
multibulbeux	adj.
multicâble	adj.
multicanal	adj.
multicapsulaire	adj.
multicartes	adj.
multicentre	adj.
multicéphale	adj.
multicolore	adj.
multicommunal	adj.
multicoque	adj.
multicouche	adj.
multicuspidé	adj.
multidenté	adj.
multidigité	adj.
multidimensionnel	adj.
multidirectionnel	adj.
multidisciplinaire	adj.
multiembryonné	adj.
multiface	adj.
multifilaire	adj.
multifonctionnalité	subst.
multifonctionnel	adj.
multiforme	adj.
multiformité	subst.
multigrade	adj.
multigraphe	subst.
multigraphier	verbe
multilatéral	adj.
multilatéralisme	subst.
multilatéralité	subst.
multilingue	adj.
multilinguisme	subst.
multilobé	adj.
multiloculaire	adj.
multimètre	subst.
multimillénaire	adj.
multimilliardaire	adj.
multimillionnaire	adj.
multimoteur	adj.
multinational	adj.
multinationalité	subst.
multinucléé	adj.
multipare	adj.
multiparité	subst.
multipartisme	subst.
multipède	adj.
multipétalé	adj.
multiplace	adj.
multiplan	adj.
multiple	adj.
multiple	subst.
multiplement	adv.
multiplet	subst.
multiplex	adj.
multiplex	subst.
multipliable	adj.
multiplicabilité	subst.
multiplicande	subst.
multiplicateur	adj.
multiplicateur	subst.
multiplicatif	adj.
multiplication	subst.
multiplicité	subst.
multiplier	verbe
multiplieuse	subst.
multipolaire	adj.
multipolarité	subst.
multipôle	subst.
multiprise	subst.
multiprocesseur	subst.
multiprogrammation	subst.
multipropriétaire	subst.
multipropriété	subst.
multiquotidien	adj.
multiracial	adj.
multiracialisme	subst.
multirisque	adj.
multiséculaire	adj.
multisiège	adj.
multisoc	adj.
multisonore	adj.
multisports	adj.
multissimicolore	adj.
multistandard	adj.
multitâche	subst.
multitraitement	subst.
multitube	adj.
multituberculés	subst.
multitubulaire	adj.
multitude	subst.
multitudinaire	adj.
multivalence	subst.
multivalent	adj.
multivalve	adj.
multivibrateur	subst.
multivocité	subst.
multivoque	adj.
mummulite	subst.
muni	adj.
munichois	adj.
munichois	subst.
munichoise	subst.
municipaillerie	subst.
municipal	adj.
municipalement	adv.
municipalisation	subst.
municipaliser	verbe
municipalisme	subst.
municipaliste	adj.
municipalité	subst.
municipe	subst.
munificemment	loc.
munificence	subst.
munificent	adj.
munir	verbe
munition	subst.
munitionnaire	subst.
munitionner	verbe
munster	subst.
muntjac	subst.
muon	subst.
muphti	subst.
muqueux	adj.
mûr	adj.
mur	subst.
murage	subst.
mûraie	subst.
muraille	subst.
muraillement	subst.
murailler	verbe
muraillette	subst.
mural	adj.
mûral	adj.
muré	adj.
mûre	subst.
mûrement	adv.
murène	subst.
murer	verbe
mûreraie	subst.
muret	subst.
muretin	subst.
murette	subst.
murex	subst.
mûri	adj.
muriate	subst.
muriatique	adj.
muridés	subst.
mûrier	subst.
mûriforme	adj.
murin	adj.
mûrir	verbe
mûrissage	subst.
mûrissant	adj.
mûrissement	subst.
mûrisserie	subst.
mûrisseur	subst.
murmel	subst.
murmurant	adj.
murmurateur	adj.
murmurateur	subst.
murmuration	subst.
murmuratrice	subst.
murmure	subst.
murmurement	subst.
murmurer	verbe
mûron	subst.
murrhe	subst.
murrhin	adj.
murtin	subst.
musacées	subst.
musagète	adj.
musaraigne	subst.
musard	adj.
musard	subst.
musarde	subst.
musarder	verbe
musarderie	subst.
musardeur	adj.
musardeur	subst.
musardeuse	subst.
musardier	subst.
musardine	subst.
musardise	subst.
musardiser	verbe
musc	subst.
muscade	adj.
muscade	subst.
muscadelle	subst.
muscadet	subst.
muscadier	subst.
muscadin	subst.
muscadine	subst.
muscardin	subst.
muscardine	subst.
muscari	subst.
muscarine	subst.
muscat	adj.
muscat	subst.
muschelkalk	subst.
muscicape	subst.
muscicole	adj.
muscidés	subst.
musciforme	adj.
muscinées	subst.
muscinés	subst.
muscivore	adj.
musclé	adj.
muscle	subst.
muscler	verbe
muscoïde	adj.
muscologie	subst.
muscophile	adj.
musculaire	adj.
musculairement	adv.
muscularité	subst.
musculation	subst.
musculature	subst.
muscule	subst.
musculeusement	adv.
musculeux	adj.
muse	subst.
museau	subst.
musée	subst.
museler	verbe
muselet	subst.
museleur	subst.
museleuse	subst.
muselière	subst.
musellement	subst.
muséographe	subst.
muséographie	subst.
muséographique	adj.
muséologie	subst.
muséologique	adj.
muséologue	subst.
muser	verbe
muserolle	subst.
musette	subst.
muséum	subst.
museur	adj.
museur	subst.
museuse	subst.
music-hall	subst.
musicable	adj.
musical	adj.
musicalement	adv.
musicaliser	verbe
musicaliste	adj.
musicaliste	subst.
musicalité	subst.
musicassette	subst.
musicastre	subst.
musicâtre	subst.
musicien	adj.
musicien	subst.
musicienne	subst.
musico	subst.
musico-cinématographique	adj.
musico-international	adj.
musico-mécanique	adj.
musico-poétique	adj.
musicogène	adj.
musicogénique	adj.
musicographe	subst.
musicographie	subst.
musicographique	adj.
musicolâtre	adj.
musicolâtre	subst.
musicolâtrie	subst.
musicolepsie	subst.
musicologie	subst.
musicologique	adj.
musicologue	subst.
musicolor	subst.
musicomane	subst.
musicomanie	subst.
musicophile	subst.
musicophobe	adj.
musicot	subst.
musicothèque	subst.
musicothérapie	subst.
musique	subst.
musiquer	verbe
musiquerie	subst.
musiquette	subst.
musiqueux	subst.
musoir	subst.
musophage	subst.
musophagidés	subst.
musqué	adj.
musquer	verbe
musse	subst.
musser	verbe
mussif	adj.
mussitation	subst.
mustang	subst.
mustélidés	subst.
musulman	adj.
musulmanie	subst.
musulmanisme	subst.
musurgie	subst.
mutabilité	subst.
mutable	adj.
mutage	subst.
mutagène	adj.
mutant	adj.
mutant	subst.
mutatif	adj.
mutation	subst.
mutationnel	adj.
mutationnisme	subst.
mutationniste	adj.
mutationniste	subst.
muter	verbe
mutilant	adj.
mutilateur	adj.
mutilateur	subst.
mutilation	subst.
mutilatrice	subst.
mutilé	adj.
mutilé	subst.
mutilée	subst.
mutiler	verbe
mutin	adj.
mutin	subst.
mutine	subst.
mutiner	verbe
mutinerie	subst.
mutisme	subst.
mutité	subst.
mutualisme	subst.
mutualiste	adj.
mutualiste	subst.
mutualité	subst.
mutuel	adj.
mutuelle	subst.
mutuellement	adv.
mutuellisme	subst.
mutuelliste	adj.
mutuelliste	subst.
mutule	subst.
myasthénie	subst.
myasthénique	adj.
myatonie	subst.
myatrophie	subst.
mycélien	adj.
mycélium	subst.
mycénien	adj.
mycénien	subst.
mycénienne	subst.
mycétologie	subst.
mycétologue	adj.
mycétome	subst.
mycétophage	subst.
mycétophile	subst.
mycétozoaire	subst.
mycobactériacées	subst.
mycobactérie	subst.
mycobactériophage	adj.
mycocécidie	subst.
mycoderme	subst.
mycodermique	adj.
mycologie	subst.
mycologique	adj.
mycologue	subst.
mycomycète	subst.
mycomycètes	subst.
mycose	subst.
mycosique	adj.
mycotête	subst.
mycothèque	subst.
mycothérapie	subst.
mydriase	subst.
mydriatique	adj.
mye	subst.
myélémie	subst.
myélencéphale	subst.
myéline	subst.
myélinique	adj.
myélinisation	subst.
myélinisé	adj.
myélique	adj.
myélite	subst.
myélo-sarcome	subst.
myélocyte	subst.
myélocytémie	subst.
myélocytose	subst.
myélogène	adj.
myélogramme	subst.
myélographie	subst.
myéloïde	adj.
myélomalacie	subst.
myélomateux	adj.
myélomatose	subst.
myélome	subst.
myélopathie	subst.
myélopathique	adj.
myéloplaxe	subst.
myélosarcome	subst.
myélose	subst.
myélotomie	subst.
mygale	subst.
mylo-hyoïdien	adj.
mylohyoïdien	adj.
myocarde	subst.
myocardie	subst.
myocardite	subst.
myocinétique	adj.
myodynamique	adj.
myoélectrique	adj.
myoépithélial	adj.
myogène	adj.
myogramme	subst.
myographe	subst.
myographie	subst.
myographique	adj.
myoïde	adj.
myologie	subst.
myologique	adj.
myomère	subst.
myonème	subst.
myooedème	subst.
myopathie	subst.
myopathique	adj.
myope	adj.
myope	subst.
myopie	subst.
myoplastie	subst.
myopotame	subst.
myorelaxant	adj.
myorésolutif	adj.
myosclérose	subst.
myosis	subst.
myosite	subst.
myosotis	subst.
myotatique	adj.
myothermique	adj.
myotique	adj.
myotomie	subst.
myotropique	adj.
myriadaire	adj.
myriade	subst.
myriagauss	subst.
myriagramme	subst.
myriamètre	subst.
myriapièze	subst.
myriapodes	subst.
myriogone	subst.
myrmécobie	subst.
myrmécologie	subst.
myrmécophage	adj.
myrmécophile	adj.
myrmécophilie	subst.
myrmidon	subst.
myrobalan	subst.
myrobolan	subst.
myrophore	adj.
myrosine	subst.
myroxyle	subst.
myroxylon	subst.
myrrhe	subst.
myrrhis	subst.
myrtacées	subst.
myrtaie	subst.
myrte	subst.
myrtiforme	adj.
myrtille	subst.
mystagogie	subst.
mystagogique	adj.
mystagogue	subst.
myste	subst.
mystère	subst.
mystériarque	subst.
mystérieusement	adv.
mystérieux	adj.
mystériologie	subst.
mystériologique	adj.
mystérique	adj.
mysticaillerie	subst.
mysticisant	adj.
mysticisme	subst.
mysticité	subst.
mystificateur	adj.
mystificateur	subst.
mystification	subst.
mystificatrice	subst.
mystifier	verbe
mystique	adj.
mystique	subst.
mystiquement	adv.
mystre	subst.
mythe	subst.
mythicité	subst.
mythifier	verbe
mythique	adj.
mythiquement	adv.
mythisme	subst.
mythographe	subst.
mythographie	subst.
mythologie	subst.
mythologique	adj.
mythologiquement	adv.
mythologiser	verbe
mythologisme	subst.
mythologue	subst.
mythomane	adj.
mythomane	subst.
mythomaniaque	adj.
mythomanie	subst.
mythophobie	subst.
mythoplasticité	subst.
mythoplastie	subst.
mythoplastique	adj.
mytilacés	subst.
mytilicole	adj.
mytiliculteur	subst.
mytilicultrice	subst.
mytiliculture	subst.
mytilidés	subst.
myure	adj.
myxadénite	subst.
myxadénome	subst.
myxine	subst.
myxobactérie	subst.
myxoedémateux	adj.
myxoedème	subst.
myxoïde	adj.
myxomatose	subst.
myxome	subst.
myxomycètes	subst.
myxorrhée	subst.
myxovirus	subst.
mzabite	adj.
mzabite	subst.
n	subst.
n-ième	subst.
n-uple	subst.
na	interj.
nabab	subst.
nababie	subst.
nabi	subst.
nabisme	subst.
nable	subst.
nabot	subst.
nabote	subst.
nabuchodonosor	subst.
nacaire	subst.
nacarat	adj.
nacarat	subst.
nacelle	subst.
nache	subst.
nacotte	subst.
nacré	adj.
nacre	subst.
nacré	subst.
nacrer	verbe
nacreux	adj.
nacrier	adj.
nacrier	subst.
nacrière	subst.
nacrure	subst.
nadir	subst.
naevo-cancer	subst.
naevocarcinome	subst.
naevus	subst.
nafé	subst.
naffe	subst.
nagaïka	subst.
nage	subst.
nageant	adj.
nagée	subst.
nageoire	subst.
nageoter	verbe
nageotter	verbe
nager	verbe
nageur	adj.
nageur	subst.
nageuse	subst.
nagualisme	subst.
naguère	adv.
naguères	adv.
nahuatl	subst.
naïadacées	subst.
naïade	subst.
naïf	adj.
naïf	subst.
nain	adj.
nain	subst.
naine	subst.
naire	subst.
naissain	subst.
naissance	subst.
naissant	adj.
naisseur	adj.
naisseur	subst.
naître	verbe
naïve	subst.
naïvement	adv.
naïveté	subst.
naja	subst.
nana	subst.
nanan	subst.
nanar	subst.
nanard	subst.
nancéien	adj.
nancéien	subst.
nancéienne	subst.
nandinie	subst.
nandou	subst.
naniser	verbe
nanisme	subst.
nankin	subst.
nanocéphalie	subst.
nanocormie	subst.
nanocurie	subst.
nanogramme	subst.
nanomélie	subst.
nanomètre	subst.
nanosomie	subst.
nanquinet	subst.
nansouk	subst.
nant	subst.
nantais	adj.
nantais	subst.
nantaise	subst.
nanti	adj.
nanti	subst.
nantie	subst.
nantir	verbe
nantissement	subst.
naos	subst.
napalm	subst.
nape	subst.
napée	subst.
napel	subst.
naphtalène	subst.
naphtalénique	adj.
naphtaline	subst.
naphte	subst.
naphteux	adj.
naphtol	subst.
napoléon	subst.
napoléonade	subst.
napoléonard	adj.
napoléoncule	subst.
napoléonerie	subst.
napoléonide	subst.
napoléonien	adj.
napoléonien	subst.
napoléonienne	subst.
napoléoniser	verbe
napoléonisme	subst.
napoléoniste	adj.
napoléonite	subst.
napoléonomane	subst.
napolitain	adj.
napolitain	subst.
napolitaine	subst.
nappage	subst.
nappe	subst.
napper	verbe
napperon	subst.
napperonner	verbe
nappette	subst.
narcéine	subst.
narcisse	subst.
narcisséen	adj.
narcissique	adj.
narcissique	subst.
narcissisme	subst.
narcissiste	adj.
narcissiste	subst.
narco-analytique	adj.
narco-synthèse	subst.
narcobiotique	adj.
narcolepsie	subst.
narcoleptique	adj.
narcomanie	subst.
narcose	subst.
narcosynthèse	subst.
narcothérapie	subst.
narcotine	subst.
narcotique	adj.
narcotique	subst.
narcotiser	verbe
narcotisme	subst.
nard	subst.
narghilé	subst.
nargue	subst.
narguer	verbe
nargueur	adj.
narguilé	subst.
narine	subst.
narquois	adj.
narquois	subst.
narquoisement	adv.
narquoiserie	subst.
narrataire	subst.
narrateur	subst.
narratif	adj.
narration	subst.
narrativité	subst.
narratologie	subst.
narratrice	subst.
narré	subst.
narrer	verbe
narse	subst.
narseux	adj.
narthex	subst.
narval	subst.
nasal	adj.
nasalement	adv.
nasaler	verbe
nasalisation	subst.
nasaliser	verbe
nasalité	subst.
nasard	adj.
nasard	subst.
nasarde	subst.
nasarder	verbe
nase	subst.
naseau	subst.
nasicorne	adj.
nasicorne	subst.
nasigère	subst.
nasillard	adj.
nasillement	subst.
nasiller	verbe
nasilleur	subst.
nasilleuse	subst.
nasillonner	verbe
nasillonneur	subst.
nasillonneuse	subst.
nasique	subst.
nasitort	subst.
naso-buccal	adj.
naso-génien	adj.
naso-oculaire	adj.
naso-palpébral	adj.
naso-sourcilier	adj.
naso-transversal	adj.
nasonnement	subst.
nasonner	verbe
nasse	subst.
nastie	subst.
natal	adj.
nataliste	adj.
nataliste	subst.
natalité	subst.
natation	subst.
natatoire	adj.
natif	adj.
nation	subst.
national	adj.
national	subst.
nationale	subst.
nationalement	adv.
nationalisation	subst.
nationalisé	adj.
nationaliser	verbe
nationalisme	subst.
nationaliste	adj.
nationaliste	subst.
nationalité	subst.
nativement	adv.
nativisme	subst.
nativiste	adj.
nativiste	subst.
nativistique	adj.
nativité	subst.
natrémie	subst.
natrium	subst.
natriurie	subst.
natrobromite	subst.
natrolite	subst.
natromagnésite	subst.
natron	subst.
natropénie	subst.
natrum	subst.
natrurie	subst.
nattage	subst.
natté	adj.
natte	subst.
natté	subst.
nattée	subst.
natter	verbe
nattier	adj.
nattier	subst.
nattière	subst.
naturalibus	loc.
naturalisation	subst.
naturalisé	adj.
naturalisé	subst.
naturalisée	subst.
naturaliser	verbe
naturalisme	subst.
naturaliste	adj.
naturaliste	subst.
naturalité	subst.
naturant	adj.
naturé	adj.
nature	subst.
nature-mortiste	subst.
naturel	adj.
naturel	subst.
naturelle	subst.
naturellement	adv.
naturer	verbe
naturisme	subst.
naturiste	adj.
naturopathe	subst.
naturopathie	subst.
naucore	subst.
nauf	subst.
naufetier	subst.
naufragé	adj.
naufrage	subst.
naufragé	subst.
naufragée	subst.
naufrager	verbe
naufrageur	subst.
naufrageuse	subst.
naumachie	subst.
naupathie	subst.
nauplius	subst.
nauséabond	adj.
nausée	subst.
nauséen	adj.
nauséeux	adj.
nautes	subst.
nautile	subst.
nautique	adj.
nautisme	subst.
nautonier	subst.
nautonière	subst.
